Date,Word,Count
2020-01-12,patients,32
2020-01-12,communication,31
2020-01-12,noise,30
2020-01-12,years,29
2020-01-12,conclusions,29
2020-01-12,people,29
2020-01-12,perception,26
2020-01-12,social,25
2020-01-12,signal,24
2020-01-12,clinical,24
2020-01-12,potential,23
2020-01-12,loss,23
2020-01-12,children,23
2020-01-13,abstract,49
2020-01-13,participants,44
2020-01-13,patients,32
2020-01-13,communication,31
2020-01-13,noise,30
2020-01-13,years,30
2020-01-13,conclusions,30
2020-01-13,people,29
2020-01-13,perception,27
2020-01-13,social,26
2020-01-13,signal,25
2020-01-13,clinical,25
2020-01-13,children,25
2020-01-13,potential,24
2020-01-13,measures,24
2020-01-14,abstract,54
2020-01-14,participants,46
2020-01-14,noise,34
2020-01-14,patients,33
2020-01-14,communication,32
2020-01-14,years,31
2020-01-14,conclusions,30
2020-01-14,people,29
2020-01-14,perception,29
2020-01-14,social,27
2020-01-14,clinical,26
2020-01-14,children,26
2020-01-14,signal,25
2020-01-14,potential,25
2020-01-14,measures,25
2020-01-15,abstract,55
2020-01-15,participants,48
2020-01-15,noise,35
2020-01-15,patients,34
2020-01-15,communication,34
2020-01-15,years,33
2020-01-15,conclusions,32
2020-01-15,people,31
2020-01-15,perception,30
2020-01-15,clinical,30
2020-01-15,social,28
2020-01-15,children,28
2020-01-15,potential,28
2020-01-15,measures,28
2020-01-15,differences,28
2020-01-16,abstract,56
2020-01-16,participants,49
2020-01-16,noise,35
2020-01-16,years,35
2020-01-16,patients,34
2020-01-16,communication,34
2020-01-16,conclusions,33
2020-01-16,people,31
2020-01-16,clinical,31
2020-01-16,social,31
2020-01-16,perception,30
2020-01-16,measures,29
2020-01-16,children,28
2020-01-16,potential,28
2020-01-16,differences,28
2020-01-17,abstract,56
2020-01-17,participants,51
2020-01-17,noise,37
2020-01-17,patients,36
2020-01-17,years,35
2020-01-17,conclusions,35
2020-01-17,communication,34
2020-01-17,social,32
2020-01-17,children,32
2020-01-17,people,31
2020-01-17,clinical,31
2020-01-17,perception,31
2020-01-17,measures,31
2020-01-17,temporal,29
2020-01-17,signal,29
2020-01-18,abstract,56
2020-01-18,participants,51
2020-01-18,noise,37
2020-01-18,patients,36
2020-01-18,years,35
2020-01-18,conclusions,35
2020-01-18,communication,34
2020-01-18,social,32
2020-01-18,children,32
2020-01-18,people,31
2020-01-18,clinical,31
2020-01-18,perception,31
2020-01-18,measures,31
2020-01-18,temporal,29
2020-01-18,signal,29
2020-01-19,abstract,56
2020-01-19,participants,51
2020-01-19,noise,38
2020-01-19,patients,36
2020-01-19,years,35
2020-01-19,conclusions,35
2020-01-19,communication,34
2020-01-19,social,32
2020-01-19,children,32
2020-01-19,measures,32
2020-01-19,people,31
2020-01-19,clinical,31
2020-01-19,perception,31
2020-01-19,temporal,29
2020-01-19,signal,29
2020-01-20,abstract,57
2020-01-20,participants,51
2020-01-20,noise,39
2020-01-20,patients,38
2020-01-20,years,36
2020-01-20,conclusions,36
2020-01-20,communication,34
2020-01-20,children,33
2020-01-20,perception,33
2020-01-20,social,32
2020-01-20,measures,32
2020-01-20,clinical,32
2020-01-20,people,31
2020-01-20,temporal,30
2020-01-20,signal,30
2020-01-21,abstract,59
2020-01-21,participants,52
2020-01-21,patients,41
2020-01-21,noise,40
2020-01-21,years,40
2020-01-21,conclusions,39
2020-01-21,communication,39
2020-01-21,children,38
2020-01-21,social,37
2020-01-21,perception,34
2020-01-21,clinical,34
2020-01-21,measures,32
2020-01-21,people,32
2020-01-21,differences,32
2020-01-21,temporal,31
2020-01-22,abstract,59
2020-01-22,participants,53
2020-01-22,patients,42
2020-01-22,noise,42
2020-01-22,years,41
2020-01-22,conclusions,40
2020-01-22,communication,39
2020-01-22,children,38
2020-01-22,social,38
2020-01-22,clinical,35
2020-01-22,perception,34
2020-01-22,signal,34
2020-01-22,number,34
2020-01-22,temporal,33
2020-01-22,rate,33
2020-01-23,abstract,59
2020-01-23,participants,54
2020-01-23,noise,44
2020-01-23,patients,42
2020-01-23,years,41
2020-01-23,communication,41
2020-01-23,conclusions,40
2020-01-23,social,40
2020-01-23,children,38
2020-01-23,clinical,37
2020-01-23,perception,37
2020-01-23,number,36
2020-01-23,signal,35
2020-01-23,temporal,33
2020-01-23,rate,33
2020-01-24,abstract,60
2020-01-24,participants,54
2020-01-24,noise,45
2020-01-24,patients,45
2020-01-24,conclusions,43
2020-01-24,years,41
2020-01-24,communication,41
2020-01-24,social,40
2020-01-24,number,39
2020-01-24,children,38
2020-01-24,clinical,37
2020-01-24,perception,37
2020-01-24,signal,36
2020-01-24,temporal,35
2020-01-24,rate,34
2020-01-25,abstract,60
2020-01-25,participants,54
2020-01-25,noise,45
2020-01-25,patients,45
2020-01-25,conclusions,43
2020-01-25,years,41
2020-01-25,communication,41
2020-01-25,social,41
2020-01-25,number,39
2020-01-25,children,38
2020-01-25,clinical,37
2020-01-25,perception,37
2020-01-25,signal,36
2020-01-25,temporal,35
2020-01-25,rate,35
2020-01-26,abstract,60
2020-01-26,participants,54
2020-01-26,noise,45
2020-01-26,patients,45
2020-01-26,conclusions,43
2020-01-26,years,41
2020-01-26,communication,41
2020-01-26,social,41
2020-01-26,number,39
2020-01-26,children,39
2020-01-26,clinical,38
2020-01-26,perception,37
2020-01-26,signal,36
2020-01-26,temporal,36
2020-01-26,experiments,36
2020-01-27,abstract,61
2020-01-27,participants,55
2020-01-27,noise,48
2020-01-27,patients,45
2020-01-27,conclusions,44
2020-01-27,social,43
2020-01-27,number,42
2020-01-27,years,41
2020-01-27,communication,41
2020-01-27,children,40
2020-01-27,temporal,39
2020-01-27,clinical,38
2020-01-27,rate,38
2020-01-27,perception,37
2020-01-27,signal,37
2020-01-28,abstract,63
2020-01-28,participants,55
2020-01-28,noise,50
2020-01-28,patients,46
2020-01-28,conclusions,44
2020-01-28,social,43
2020-01-28,number,42
2020-01-28,communication,42
2020-01-28,years,41
2020-01-28,children,41
2020-01-28,clinical,41
2020-01-28,temporal,39
2020-01-28,rate,39
2020-01-28,signal,38
2020-01-28,experiments,38
2020-01-29,abstract,65
2020-01-29,participants,55
2020-01-29,noise,53
2020-01-29,patients,47
2020-01-29,conclusions,46
2020-01-29,social,43
2020-01-29,number,43
2020-01-29,communication,43
2020-01-29,years,43
2020-01-29,clinical,42
2020-01-29,children,41
2020-01-29,temporal,41
2020-01-29,rate,41
2020-01-29,signal,39
2020-01-29,experiments,39
2020-01-30,abstract,67
2020-01-30,participants,56
2020-01-30,noise,54
2020-01-30,patients,48
2020-01-30,conclusions,47
2020-01-30,social,46
2020-01-30,communication,46
2020-01-30,number,44
2020-01-30,years,43
2020-01-30,clinical,43
2020-01-30,children,43
2020-01-30,temporal,43
2020-01-30,rate,41
2020-01-30,signal,39
2020-01-30,experiments,39
2020-01-31,abstract,69
2020-01-31,participants,60
2020-01-31,noise,58
2020-01-31,conclusions,54
2020-01-31,patients,48
2020-01-31,social,48
2020-01-31,communication,48
2020-01-31,years,47
2020-01-31,clinical,47
2020-01-31,children,47
2020-01-31,temporal,46
2020-01-31,number,45
2020-01-31,signal,43
2020-01-31,rate,42
2020-01-31,experiments,40
2020-02-01,abstract,82
2020-02-01,noise,76
2020-02-01,participants,70
2020-02-01,signal,66
2020-02-01,children,65
2020-02-01,clinical,61
2020-02-01,years,59
2020-02-01,conclusions,58
2020-02-01,rate,58
2020-02-01,measures,58
2020-02-01,patients,57
2020-02-01,communication,57
2020-02-01,number,57
2020-02-01,voice,57
2020-02-01,social,55
2020-02-02,abstract,82
2020-02-02,noise,76
2020-02-02,participants,70
2020-02-02,signal,66
2020-02-02,children,65
2020-02-02,clinical,61
2020-02-02,years,59
2020-02-02,measures,59
2020-02-02,conclusions,58
2020-02-02,rate,58
2020-02-02,patients,57
2020-02-02,communication,57
2020-02-02,number,57
2020-02-02,voice,57
2020-02-02,social,55
2020-02-03,abstract,83
2020-02-03,noise,77
2020-02-03,participants,71
2020-02-03,children,67
2020-02-03,signal,66
2020-02-03,clinical,63
2020-02-03,years,60
2020-02-03,measures,60
2020-02-03,conclusions,60
2020-02-03,rate,59
2020-02-03,patients,59
2020-02-03,communication,58
2020-02-03,number,58
2020-02-03,voice,58
2020-02-03,social,56
2020-02-04,abstract,83
2020-02-04,noise,77
2020-02-04,participants,72
2020-02-04,children,69
2020-02-04,signal,66
2020-02-04,clinical,64
2020-02-04,years,63
2020-02-04,communication,62
2020-02-04,conclusions,61
2020-02-04,patients,61
2020-02-04,measures,60
2020-02-04,rate,60
2020-02-04,number,60
2020-02-04,social,59
2020-02-04,voice,58
2020-02-05,abstract,84
2020-02-05,noise,77
2020-02-05,participants,74
2020-02-05,children,72
2020-02-05,signal,67
2020-02-05,clinical,67
2020-02-05,years,67
2020-02-05,communication,64
2020-02-05,conclusions,64
2020-02-05,patients,63
2020-02-05,social,62
2020-02-05,rate,61
2020-02-05,number,61
2020-02-05,measures,60
2020-02-05,voice,60
2020-02-06,abstract,86
2020-02-06,noise,78
2020-02-06,participants,75
2020-02-06,children,75
2020-02-06,signal,70
2020-02-06,clinical,69
2020-02-06,years,68
2020-02-06,conclusions,66
2020-02-06,patients,66
2020-02-06,communication,65
2020-02-06,number,65
2020-02-06,rate,64
2020-02-06,social,62
2020-02-06,measures,62
2020-02-06,voice,61
2020-02-07,abstract,89
2020-02-07,noise,79
2020-02-07,participants,79
2020-02-07,children,76
2020-02-07,signal,72
2020-02-07,clinical,70
2020-02-07,years,70
2020-02-07,conclusions,67
2020-02-07,patients,66
2020-02-07,communication,66
2020-02-07,number,66
2020-02-07,rate,65
2020-02-07,higher,64
2020-02-07,measures,63
2020-02-07,voice,63
2020-02-08,abstract,89
2020-02-08,noise,79
2020-02-08,participants,79
2020-02-08,children,77
2020-02-08,signal,72
2020-02-08,years,71
2020-02-08,clinical,70
2020-02-08,conclusions,67
2020-02-08,patients,66
2020-02-08,communication,66
2020-02-08,number,66
2020-02-08,rate,65
2020-02-08,higher,64
2020-02-08,measures,63
2020-02-08,voice,63
2020-02-09,abstract,89
2020-02-09,noise,81
2020-02-09,participants,80
2020-02-09,children,78
2020-02-09,signal,72
2020-02-09,years,71
2020-02-09,clinical,70
2020-02-09,number,69
2020-02-09,communication,68
2020-02-09,conclusions,67
2020-02-09,patients,67
2020-02-09,rate,65
2020-02-09,higher,65
2020-02-09,measures,63
2020-02-09,voice,63
2020-02-10,abstract,92
2020-02-10,noise,83
2020-02-10,participants,82
2020-02-10,children,81
2020-02-10,signal,74
2020-02-10,years,72
2020-02-10,clinical,71
2020-02-10,number,70
2020-02-10,communication,70
2020-02-10,conclusions,69
2020-02-10,patients,68
2020-02-10,higher,68
2020-02-10,voice,66
2020-02-10,rate,65
2020-02-10,measures,64
2020-02-11,abstract,94
2020-02-11,children,87
2020-02-11,noise,83
2020-02-11,participants,83
2020-02-11,signal,76
2020-02-11,years,76
2020-02-11,clinical,72
2020-02-11,number,72
2020-02-11,communication,72
2020-02-11,conclusions,71
2020-02-11,patients,71
2020-02-11,higher,69
2020-02-11,voice,67
2020-02-11,rate,67
2020-02-11,measures,66
2020-02-12,abstract,96
2020-02-12,children,88
2020-02-12,noise,85
2020-02-12,participants,84
2020-02-12,signal,78
2020-02-12,years,76
2020-02-12,number,75
2020-02-12,clinical,73
2020-02-12,conclusions,73
2020-02-12,communication,72
2020-02-12,patients,72
2020-02-12,higher,72
2020-02-12,voice,67
2020-02-12,rate,67
2020-02-12,measures,66
2020-02-13,abstract,99
2020-02-13,children,89
2020-02-13,noise,87
2020-02-13,participants,86
2020-02-13,signal,82
2020-02-13,years,77
2020-02-13,number,75
2020-02-13,clinical,74
2020-02-13,conclusions,74
2020-02-13,higher,74
2020-02-13,patients,73
2020-02-13,communication,72
2020-02-13,rate,69
2020-02-13,voice,68
2020-02-13,measures,66
2020-02-14,abstract,99
2020-02-14,noise,93
2020-02-14,children,90
2020-02-14,participants,89
2020-02-14,signal,88
2020-02-14,number,80
2020-02-14,years,78
2020-02-14,higher,78
2020-02-14,clinical,76
2020-02-14,patients,76
2020-02-14,conclusions,75
2020-02-14,communication,72
2020-02-14,rate,70
2020-02-14,voice,68
2020-02-14,measures,68
2020-02-15,abstract,99
2020-02-15,noise,95
2020-02-15,children,90
2020-02-15,signal,90
2020-02-15,participants,89
2020-02-15,number,80
2020-02-15,years,79
2020-02-15,higher,78
2020-02-15,patients,77
2020-02-15,clinical,76
2020-02-15,conclusions,76
2020-02-15,communication,73
2020-02-15,rate,73
2020-02-15,voice,69
2020-02-15,measures,69
2020-02-16,abstract,99
2020-02-16,noise,95
2020-02-16,signal,91
2020-02-16,children,90
2020-02-16,participants,90
2020-02-16,number,80
2020-02-16,years,79
2020-02-16,higher,78
2020-02-16,patients,77
2020-02-16,clinical,76
2020-02-16,conclusions,76
2020-02-16,rate,74
2020-02-16,communication,73
2020-02-16,voice,70
2020-02-16,measures,69
2020-02-17,abstract,101
2020-02-17,noise,95
2020-02-17,signal,92
2020-02-17,children,90
2020-02-17,participants,90
2020-02-17,number,80
2020-02-17,years,79
2020-02-17,higher,79
2020-02-17,patients,77
2020-02-17,clinical,76
2020-02-17,conclusions,76
2020-02-17,rate,75
2020-02-17,communication,74
2020-02-17,voice,72
2020-02-17,measures,69
2020-02-18,abstract,104
2020-02-18,noise,100
2020-02-18,signal,93
2020-02-18,participants,93
2020-02-18,children,90
2020-02-18,number,80
2020-02-18,years,80
2020-02-18,higher,80
2020-02-18,patients,78
2020-02-18,clinical,77
2020-02-18,conclusions,77
2020-02-18,communication,76
2020-02-18,voice,76
2020-02-18,rate,75
2020-02-18,measures,71
2020-02-19,abstract,104
2020-02-19,noise,100
2020-02-19,participants,96
2020-02-19,signal,93
2020-02-19,children,92
2020-02-19,years,84
2020-02-19,number,81
2020-02-19,higher,80
2020-02-19,patients,80
2020-02-19,conclusions,80
2020-02-19,communication,78
2020-02-19,clinical,77
2020-02-19,voice,76
2020-02-19,rate,75
2020-02-19,measures,74
2020-02-20,abstract,106
2020-02-20,noise,100
2020-02-20,participants,97
2020-02-20,signal,96
2020-02-20,children,94
2020-02-20,years,86
2020-02-20,number,82
2020-02-20,patients,82
2020-02-20,conclusions,82
2020-02-20,higher,81
2020-02-20,clinical,81
2020-02-20,communication,79
2020-02-20,potential,79
2020-02-20,voice,78
2020-02-20,measures,77
2020-02-21,abstract,106
2020-02-21,noise,102
2020-02-21,participants,99
2020-02-21,signal,98
2020-02-21,children,94
2020-02-21,years,86
2020-02-21,conclusions,85
2020-02-21,clinical,84
2020-02-21,number,83
2020-02-21,patients,83
2020-02-21,communication,82
2020-02-21,higher,81
2020-02-21,potential,81
2020-02-21,voice,79
2020-02-21,measures,79
2020-02-22,abstract,106
2020-02-22,noise,102
2020-02-22,participants,99
2020-02-22,signal,98
2020-02-22,children,94
2020-02-22,years,87
2020-02-22,conclusions,85
2020-02-22,clinical,84
2020-02-22,patients,84
2020-02-22,number,83
2020-02-22,communication,83
2020-02-22,potential,82
2020-02-22,higher,81
2020-02-22,voice,79
2020-02-22,measures,79
2020-02-23,abstract,106
2020-02-23,noise,102
2020-02-23,participants,100
2020-02-23,signal,98
2020-02-23,children,94
2020-02-23,years,87
2020-02-23,conclusions,85
2020-02-23,clinical,84
2020-02-23,patients,84
2020-02-23,number,84
2020-02-23,communication,83
2020-02-23,potential,82
2020-02-23,higher,81
2020-02-23,voice,80
2020-02-23,measures,79
2020-02-24,abstract,108
2020-02-24,noise,105
2020-02-24,participants,102
2020-02-24,signal,99
2020-02-24,children,94
2020-02-24,years,88
2020-02-24,conclusions,88
2020-02-24,number,87
2020-02-24,patients,85
2020-02-24,clinical,84
2020-02-24,communication,84
2020-02-24,higher,83
2020-02-24,potential,82
2020-02-24,voice,82
2020-02-24,measures,81
2020-02-25,abstract,110
2020-02-25,noise,106
2020-02-25,participants,104
2020-02-25,signal,99
2020-02-25,children,95
2020-02-25,years,90
2020-02-25,conclusions,90
2020-02-25,number,88
2020-02-25,patients,88
2020-02-25,clinical,88
2020-02-25,voice,88
2020-02-25,communication,87
2020-02-25,higher,85
2020-02-25,potential,83
2020-02-25,measures,82
2020-02-26,abstract,110
2020-02-26,noise,108
2020-02-26,participants,106
2020-02-26,signal,100
2020-02-26,children,97
2020-02-26,conclusions,93
2020-02-26,years,92
2020-02-26,voice,90
2020-02-26,number,89
2020-02-26,patients,88
2020-02-26,clinical,88
2020-02-26,communication,88
2020-02-26,higher,85
2020-02-26,potential,84
2020-02-26,measures,83
2020-02-27,abstract,112
2020-02-27,noise,110
2020-02-27,participants,110
2020-02-27,signal,101
2020-02-27,children,98
2020-02-27,conclusions,96
2020-02-27,years,92
2020-02-27,voice,92
2020-02-27,number,91
2020-02-27,clinical,91
2020-02-27,patients,90
2020-02-27,communication,90
2020-02-27,higher,87
2020-02-27,potential,85
2020-02-27,measures,83
2020-02-28,abstract,112
2020-02-28,noise,111
2020-02-28,participants,111
2020-02-28,signal,103
2020-02-28,children,98
2020-02-28,conclusions,96
2020-02-28,voice,95
2020-02-28,years,92
2020-02-28,number,91
2020-02-28,clinical,91
2020-02-28,patients,91
2020-02-28,communication,90
2020-02-28,higher,88
2020-02-28,potential,86
2020-02-28,measures,83
2020-02-29,abstract,112
2020-02-29,participants,112
2020-02-29,noise,111
2020-02-29,signal,104
2020-02-29,children,98
2020-02-29,conclusions,97
2020-02-29,voice,95
2020-02-29,years,94
2020-02-29,clinical,92
2020-02-29,patients,92
2020-02-29,number,91
2020-02-29,communication,90
2020-02-29,higher,88
2020-02-29,potential,86
2020-02-29,measures,83
2020-03-01,participants,133
2020-03-01,noise,129
2020-03-01,abstract,126
2020-03-01,signal,116
2020-03-01,children,116
2020-03-01,years,109
2020-03-01,patients,109
2020-03-01,voice,107
2020-03-01,number,107
2020-03-01,clinical,106
2020-03-01,communication,103
2020-03-01,conclusions,102
2020-03-01,rate,98
2020-03-01,higher,97
2020-03-01,potential,94
2020-03-02,participants,135
2020-03-02,noise,130
2020-03-02,abstract,128
2020-03-02,signal,119
2020-03-02,children,116
2020-03-02,years,110
2020-03-02,patients,109
2020-03-02,number,108
2020-03-02,clinical,108
2020-03-02,voice,107
2020-03-02,communication,105
2020-03-02,conclusions,103
2020-03-02,rate,99
2020-03-02,higher,97
2020-03-02,potential,96
2020-03-03,abstract,142
2020-03-03,participants,141
2020-03-03,noise,130
2020-03-03,signal,120
2020-03-03,children,120
2020-03-03,patients,114
2020-03-03,years,113
2020-03-03,clinical,113
2020-03-03,number,111
2020-03-03,voice,110
2020-03-03,communication,109
2020-03-03,conclusions,105
2020-03-03,rate,101
2020-03-03,potential,100
2020-03-03,higher,99
2020-03-04,abstract,143
2020-03-04,participants,141
2020-03-04,noise,130
2020-03-04,signal,121
2020-03-04,children,121
2020-03-04,patients,114
2020-03-04,years,113
2020-03-04,clinical,113
2020-03-04,number,112
2020-03-04,voice,110
2020-03-04,communication,110
2020-03-04,conclusions,105
2020-03-04,rate,103
2020-03-04,potential,100
2020-03-04,higher,99
2020-03-05,abstract,144
2020-03-05,participants,142
2020-03-05,noise,131
2020-03-05,signal,122
2020-03-05,children,121
2020-03-05,patients,115
2020-03-05,clinical,114
2020-03-05,years,113
2020-03-05,number,113
2020-03-05,communication,111
2020-03-05,voice,110
2020-03-05,conclusions,106
2020-03-05,rate,103
2020-03-05,potential,100
2020-03-05,higher,99
2020-03-06,abstract,147
2020-03-06,participants,145
2020-03-06,noise,134
2020-03-06,children,125
2020-03-06,signal,122
2020-03-06,patients,118
2020-03-06,years,116
2020-03-06,number,115
2020-03-06,clinical,114
2020-03-06,voice,114
2020-03-06,communication,112
2020-03-06,conclusions,110
2020-03-06,rate,106
2020-03-06,higher,104
2020-03-06,potential,101
2020-03-07,abstract,147
2020-03-07,participants,145
2020-03-07,noise,135
2020-03-07,children,125
2020-03-07,signal,122
2020-03-07,patients,118
2020-03-07,years,116
2020-03-07,number,116
2020-03-07,voice,115
2020-03-07,clinical,114
2020-03-07,communication,112
2020-03-07,conclusions,110
2020-03-07,rate,106
2020-03-07,higher,104
2020-03-07,potential,102
2020-03-08,abstract,147
2020-03-08,participants,145
2020-03-08,noise,135
2020-03-08,children,125
2020-03-08,signal,122
2020-03-08,patients,118
2020-03-08,years,116
2020-03-08,number,116
2020-03-08,voice,115
2020-03-08,clinical,114
2020-03-08,communication,112
2020-03-08,conclusions,110
2020-03-08,rate,108
2020-03-08,higher,104
2020-03-08,potential,102
2020-03-09,abstract,147
2020-03-09,participants,146
2020-03-09,noise,140
2020-03-09,children,125
2020-03-09,signal,124
2020-03-09,patients,119
2020-03-09,voice,118
2020-03-09,number,117
2020-03-09,years,116
2020-03-09,clinical,114
2020-03-09,communication,113
2020-03-09,conclusions,111
2020-03-09,rate,111
2020-03-09,higher,106
2020-03-09,speakers,105
2020-03-10,participants,150
2020-03-10,abstract,148
2020-03-10,noise,141
2020-03-10,children,126
2020-03-10,signal,124
2020-03-10,patients,119
2020-03-10,voice,118
2020-03-10,number,117
2020-03-10,years,116
2020-03-10,clinical,116
2020-03-10,communication,115
2020-03-10,conclusions,113
2020-03-10,rate,111
2020-03-10,higher,106
2020-03-10,speakers,105
2020-03-11,participants,152
2020-03-11,abstract,151
2020-03-11,noise,143
2020-03-11,children,131
2020-03-11,signal,125
2020-03-11,patients,120
2020-03-11,years,120
2020-03-11,voice,119
2020-03-11,number,119
2020-03-11,clinical,117
2020-03-11,conclusions,117
2020-03-11,communication,116
2020-03-11,rate,113
2020-03-11,higher,107
2020-03-11,speakers,107
2020-03-12,participants,153
2020-03-12,abstract,153
2020-03-12,noise,143
2020-03-12,children,136
2020-03-12,signal,126
2020-03-12,years,122
2020-03-12,voice,122
2020-03-12,number,121
2020-03-12,patients,120
2020-03-12,communication,120
2020-03-12,conclusions,119
2020-03-12,clinical,118
2020-03-12,rate,114
2020-03-12,higher,109
2020-03-12,loss,108
2020-03-13,abstract,155
2020-03-13,participants,154
2020-03-13,noise,144
2020-03-13,children,137
2020-03-13,signal,127
2020-03-13,years,125
2020-03-13,voice,124
2020-03-13,number,122
2020-03-13,patients,120
2020-03-13,communication,120
2020-03-13,conclusions,120
2020-03-13,clinical,119
2020-03-13,rate,116
2020-03-13,higher,110
2020-03-13,loss,108
2020-03-14,abstract,158
2020-03-14,participants,157
2020-03-14,noise,146
2020-03-14,children,137
2020-03-14,signal,127
2020-03-14,years,125
2020-03-14,voice,124
2020-03-14,number,123
2020-03-14,conclusions,122
2020-03-14,patients,120
2020-03-14,communication,120
2020-03-14,clinical,119
2020-03-14,rate,116
2020-03-14,higher,110
2020-03-14,perception,110
2020-03-15,abstract,159
2020-03-15,participants,159
2020-03-15,noise,146
2020-03-15,children,137
2020-03-15,signal,127
2020-03-15,years,126
2020-03-15,voice,124
2020-03-15,number,123
2020-03-15,conclusions,122
2020-03-15,patients,120
2020-03-15,communication,120
2020-03-15,clinical,119
2020-03-15,rate,116
2020-03-15,higher,110
2020-03-15,perception,110
2020-03-16,abstract,159
2020-03-16,participants,159
2020-03-16,noise,147
2020-03-16,children,140
2020-03-16,signal,128
2020-03-16,years,127
2020-03-16,number,125
2020-03-16,voice,124
2020-03-16,conclusions,124
2020-03-16,patients,121
2020-03-16,clinical,121
2020-03-16,communication,120
2020-03-16,rate,117
2020-03-16,higher,111
2020-03-16,potential,111
2020-03-17,participants,162
2020-03-17,abstract,161
2020-03-17,noise,148
2020-03-17,children,143
2020-03-17,conclusions,131
2020-03-17,signal,128
2020-03-17,years,128
2020-03-17,voice,128
2020-03-17,number,127
2020-03-17,clinical,127
2020-03-17,patients,125
2020-03-17,communication,122
2020-03-17,rate,119
2020-03-17,potential,114
2020-03-17,higher,112
2020-03-18,participants,166
2020-03-18,abstract,165
2020-03-18,noise,149
2020-03-18,children,146
